Example,methods_per_class,params_per_method,cyclomatic_complexity,comment_density,loc_per_method,public_methods,nesting_depth,halstead_volume
1222,2.12,1.09,1.19,1.43,1.32,4.07,7.0,1.49
1223,1.64,1.56,1.1,1.0,1.36,1.44,7.0,1.06
1224,5.18,1.0,1.39,1.44,1.52,3.85,7.0,1.82
1225,1.32,1.28,1.58,1.0,1.48,1.88,7.0,1.41
1226,1.32,1.16,2.16,4.65,2.86,1.22,7.0,1.31
1227,5.34,1.17,1.0,1.0,1.29,3.96,4.0,1.38
1228,1.21,1.32,1.39,1.0,1.32,1.33,7.0,1.38
1229,1.38,1.28,1.1,1.67,1.47,1.66,4.0,1.29
1230,2.41,1.17,1.0,1.16,1.34,4.84,4.0,1.57
1231,2.12,1.16,1.19,1.44,1.29,2.54,7.0,1.57
1232,2.61,1.32,1.19,1.0,1.91,1.99,7.0,1.49
1233,5.18,1.14,1.1,1.0,1.32,3.85,7.0,1.43
1234,2.93,1.19,3.13,1.16,1.42,4.73,7.0,2.25
1235,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.19
1236,1.1,1.32,1.1,1.0,1.14,1.55,7.0,1.22
1237,2.04,1.12,1.0,1.0,1.26,2.32,4.0,1.35
1238,3.04,1.42,1.58,1.24,1.35,5.17,7.0,2.11
1239,2.29,2.0,2.06,1.0,1.91,1.88,7.0,1.43
1240,3.89,1.16,1.0,1.0,1.29,2.98,4.0,1.24
1241,1.64,1.0,1.29,1.0,1.61,1.44,4.0,1.19
1242,1.64,1.16,1.68,1.19,1.64,1.88,7.0,1.27
1243,2.61,1.35,1.19,1.0,1.37,2.1,7.0,1.27
1244,2.45,1.07,1.19,1.22,1.35,1.99,7.0,1.27
1245,3.17,1.27,1.29,1.0,1.25,1.88,7.0,1.67
1246,1.4,1.26,1.0,1.51,1.29,1.55,4.0,1.11
1247,3.09,1.22,1.29,1.0,1.4,2.43,7.0,1.21
1248,3.89,1.17,1.68,1.1,1.31,4.95,7.0,2.7
1249,1.32,2.12,1.0,1.0,1.29,1.22,4.0,1.07
1250,1.16,1.32,1.39,1.0,3.29,1.11,7.0,1.07
1251,2.61,1.42,1.1,1.0,1.64,2.1,7.0,1.41
1252,2.61,1.06,1.0,1.0,1.29,2.1,4.0,1.2
1253,6.14,1.2,1.19,1.0,1.28,4.51,4.0,1.68
1254,1.19,1.11,1.0,1.0,1.29,1.66,4.0,1.17
